Source,Target,Type,Id,Label,timeset,Weight
11529,11533,Undirected,228932,,,4
11529,11532,Undirected,228936,,,3
11529,11530,Undirected,229146,,,5
13278,11529,Undirected,370176,,,1
13095,11529,Undirected,355538,,,1
13093,11529,Undirected,341535,,,3
12864,11529,Undirected,361348,,,1
12290,11529,Undirected,377350,,,1
12065,11529,Undirected,232197,,,4
12062,11529,Undirected,361413,,,1
11979,11529,Undirected,361388,,,1
11904,11529,Undirected,265104,,,1
11819,11529,Undirected,371340,,,1
11802,11529,Undirected,341572,,,1
11784,11529,Undirected,355540,,,1
11748,11529,Undirected,371347,,,1
11652,11529,Undirected,370188,,,1
11564,11529,Undirected,314052,,,1
11555,11529,Undirected,265065,,,1
11530,16774,Undirected,302326,,,1
11530,14561,Undirected,377691,,,1
11530,14087,Undirected,302327,,,1
11530,13218,Undirected,332651,,,1
11530,13211,Undirected,332655,,,2
11530,13175,Undirected,286503,,,1
11530,12923,Undirected,240710,,,1
11530,12919,Undirected,240698,,,1
11530,12778,Undirected,286500,,,1
11530,12777,Undirected,286498,,,1
11530,12748,Undirected,286497,,,1
11530,12737,Undirected,332634,,,2
11530,12588,Undirected,352423,,,1
11530,12530,Undirected,359176,,,1
11530,12405,Undirected,380819,,,4
11530,12393,Undirected,400961,,,1
11530,12243,Undirected,352424,,,1
11530,12242,Undirected,240708,,,2
11530,12177,Undirected,286501,,,1
11530,12061,Undirected,302325,,,1
11530,11885,Undirected,270836,,,8
11530,11851,Undirected,362571,,,1
11530,11827,Undirected,400969,,,1
11530,11700,Undirected,400967,,,1
11530,11674,Undirected,270837,,,9
11530,11655,Undirected,359106,,,1
11530,11632,Undirected,270839,,,2
11530,11591,Undirected,380820,,,1
11530,11559,Undirected,269095,,,1
11530,11555,Undirected,229107,,,1
11530,11533,Undirected,228926,,,16
11530,11532,Undirected,228929,,,10
14913,11530,Undirected,341304,,,1
14018,11530,Undirected,390441,,,1
13607,11530,Undirected,302299,,,1
13600,11530,Undirected,341273,,,1
13428,11530,Undirected,246303,,,1
13192,11530,Undirected,359102,,,1
13121,11530,Undirected,399843,,,1
12752,11530,Undirected,302258,,,1
12747,11530,Undirected,302307,,,1
12744,11530,Undirected,246313,,,1
12724,11530,Undirected,332697,,,1
12536,11530,Undirected,362569,,,1
12330,11530,Undirected,302283,,,1
12290,11530,Undirected,235036,,,1
12121,11530,Undirected,390398,,,1
12065,11530,Undirected,353470,,,1
11996,11530,Undirected,390325,,,1
11979,11530,Undirected,395811,,,1
11918,11530,Undirected,395780,,,1
11917,11530,Undirected,395814,,,1
11899,11530,Undirected,302314,,,1
11886,11530,Undirected,377662,,,1
