Position,Track Name,Artist,Streams,date,region,spotify_id
174,Fiebre,David Bisbal,115151,2016-12-23--2016-12-30,es,544E59bf3opnM83UHIop94
175,Would I Lie to You - Radio Edit,David Guetta,115148,2016-12-23--2016-12-30,es,4PdJSsESm34djLfBde9Pr2
176,Destino o Casualidad,Melendi,114349,2016-12-23--2016-12-30,es,3NaEzk0OFnezhFFGqZNyYz
177,Hello,Adele,114272,2016-12-23--2016-12-30,es,4sPmO7WMQUAf45kwMOtONw
178,Faith - Remastered,George Michael,113830,2016-12-23--2016-12-30,es,0HEmnAUT8PHznIAAmVXqFJ
179,What Do You Mean?,Justin Bieber,113193,2016-12-23--2016-12-30,es,3pzjHKrQSvXGHQ98dx18HI
180,"La Ocasion (feat. Arcangel, Ozuna & Anuel Aa)",De La Ghetto,113034,2016-12-23--2016-12-30,es,498YWgZPJWIA4lphXtCNma
181,Kiss the Sky,Jason Derulo,112988,2016-12-23--2016-12-30,es,0LiEC0RZvGaUISWv7lYsJL
182,Mi Mayor Fortuna (with ChocQuibTown),Melendi,112561,2016-12-23--2016-12-30,es,2ohQN4UOfgXGwtF2ISUkFb
183,Photograph,Ed Sheeran,111530,2016-12-23--2016-12-30,es,6fxVffaTuwjgEk5h9QyRjy
184,Llegaste tú (feat. Reykon),Sofia Reyes,111137,2016-12-23--2016-12-30,es,79Bm3DTEYuQsDpUVHbSRsL
185,Verano,La Oreja de Van Gogh,110498,2016-12-23--2016-12-30,es,5JdMJsSyGcnVrVJACgX5AS
186,Latina Sabrosa,Snova,110011,2016-12-23--2016-12-30,es,2duYlBtpV5ZVx2dDTbpsQi
187,Holly Jolly Christmas,Michael Bublé,109105,2016-12-23--2016-12-30,es,6tjituizSxwSmBB5vtgHZE
188,Stitches,Shawn Mendes,107722,2016-12-23--2016-12-30,es,1WP1r7fuvRqZRnUaTi2I1Q
189,The Ocean (feat. Shy Martin),Mike Perry,107414,2016-12-23--2016-12-30,es,2CPqh63wRVscbceKcPxwvv
190,Party Monster,The Weeknd,106341,2016-12-23--2016-12-30,es,4F7A0DXBrmUAkp32uenhZt
191,Love on Me,Galantis,105904,2016-12-23--2016-12-30,es,2MHCiOohBZEQuLgDTPvSzF
192,Hijos Del Verbo Amar,Pablo López,105637,2016-12-23--2016-12-30,es,5EZxIvwVrnBxwHWl69rgK5
193,La Casa No Es Igual,Melendi,105299,2016-12-23--2016-12-30,es,7yjTvUlvx7S1pneUODlGBg
194,Mistletoe,Justin Bieber,104312,2016-12-23--2016-12-30,es,32OWobmyAz8J2qA8iWekyS
195,Propuesta Indecente,Romeo Santos,104177,2016-12-23--2016-12-30,es,5PycBIeabfvX3n9ILG7Vrv
196,La Bicicleta (feat. Maluma) - Remix,Carlos Vives,103819,2016-12-23--2016-12-30,es,7IRuf7FrdQvOGs0g9mSNGr
197,Hey Baby,Dimitri Vegas & Like Mike,103805,2016-12-23--2016-12-30,es,6yc377A8qxHIjPUcjGD4ET
198,Jingle Bells (feat. The Puppini Sisters),Michael Bublé,102819,2016-12-23--2016-12-30,es,4qBejt9FeqLI9blHI1Nq1x
199,Antes de Morirme (feat. Rosalía),C. Tangana,102324,2016-12-23--2016-12-30,es,7aFBy1CBLGnZE1Iv6TvEZE
200,Todo No Es Casualidad - Versión Radio,India Martinez,102238,2016-12-23--2016-12-30,es,7hJ50qGogxnnOto7kISbSQ
1,Chantaje (feat. Maluma),Shakira,1690385,2016-12-30--2017-01-06,es,6mICuAdrwEjh6Y6lroV2Kg
2,Reggaetón Lento (Bailemos),CNCO,1527601,2016-12-30--2017-01-06,es,3AEZUABDXNtecAOSC1qTfo
3,Safari,J Balvin,1251439,2016-12-30--2017-01-06,es,6rQSrBHf7HlZjtcMZ4S4bO
4,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,1181158,2016-12-30--2017-01-06,es,5knuzwU65gJK7IF5yJsuaW
5,Vente Pa' Ca (feat. Maluma),Ricky Martin,1086774,2016-12-30--2017-01-06,es,7DM4BPaS7uofFul3ywMe46
6,Otra vez (feat. J Balvin),Zion & Lennox,964540,2016-12-30--2017-01-06,es,3QwBODjSEzelZyVjxPOHdq
7,Gyal You A Party Animal - Remix,Charly Black,939533,2016-12-30--2017-01-06,es,1AkTW13ysu0AJrwuM6UY0I
8,Traicionera,Sebastian Yatra,930409,2016-12-30--2017-01-06,es,5J1c3M4EldCfNxXwrwt8mT
9,La Bicicleta,Carlos Vives,875785,2016-12-30--2017-01-06,es,0sXvAOmXgjR2QUqLK1MltU
10,Let Me Love You,DJ Snake,855909,2016-12-30--2017-01-06,es,4pdPtRcBmOSQDlJ3Fk945m
11,24K Magic,Bruno Mars,820885,2016-12-30--2017-01-06,es,6b8Be6ljOzmkOmFslEb23P
12,Starboy,The Weeknd,788146,2016-12-30--2017-01-06,es,5aAx2yezTd8zXrkmtKl66Z
13,Closer,The Chainsmokers,745183,2016-12-30--2017-01-06,es,7BKLCZ1jbUBVqRi2FVlTVw
14,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",IAmChino,741568,2016-12-30--2017-01-06,es,6stYbAJgTszHAHZMPxWWCY
15,Hasta Que Se Seque el Malecón (feat. Farruko) - Remix,Jacob Forever,732579,2016-12-30--2017-01-06,es,6sMPwcpYtxm1mlgYbp1B0t
16,Vacaciones,Wisin,722934,2016-12-30--2017-01-06,es,3dQDid3IUNhZy1OehIfYfE
17,Don't Wanna Know,Maroon 5,697829,2016-12-30--2017-01-06,es,5MFzQMkrl1FOOng9tq6R9r
18,Manicomio,Cosculluela,689196,2016-12-30--2017-01-06,es,3n58u3LOFw8mITLvfPvQBz
19,Borro Cassette,Maluma,665577,2016-12-30--2017-01-06,es,6DUdDIRgLqCGq1DwkNWQTN
20,In the Name of Love,Martin Garrix,639518,2016-12-30--2017-01-06,es,04DwTuZ2VBdJCCC5TROn7L
21,Fuego,Juanes,629174,2016-12-30--2017-01-06,es,0mwPE0lPOgnWf2bo14xedJ
22,DUELE EL CORAZON (feat. Wisin),Enrique Iglesias,616955,2016-12-30--2017-01-06,es,6YZdkObH88npeKrrkb8Ggf
